"Mine Search","Mine searcher is our take on this classic game. The object of the game is to select tiles to clear the field and to avoid mines. As the tiles are selected the number of mines that are adjacent to that tile is revealed to help the player determine the mines' locations. The game allows you to change board size and the number of mines in the field for varying difficulty and endless fun. Records are kept so you can keep track of your best times.

-- If you had the beta version you must uninstall that prior to downloading.","2009-12-21 21:00:58","6.6","com.engineequalscar.games.mines","0.9.5","1038810","2.9","1322","17","http://cdn.downloads.palm.com/public/6/icon/L/icon_big.png","0.99000000953674","Games!Arcade"
"Stopwatch / Timer","Now with proper Pixi support, proper ringer switch support (vibrate when silent), and louder alarm.
Stopwatch / Timer application gives you 2 apps in one tight package for all your timing needs.
There are 2 themes to pick from (light/dark).  Supports start/stop/resume. Built in keyboard shortcuts (see FAQ). Stopwatch supports lap split functionality - with total split time and last lap split time.  There is an option to option to remember last run stopwatch time.  Timer has easy to use on-screen keypad, and keyboard shortcuts.  Alarm notification for when time is up.","2009-10-23 00:51:23","13.13","com.sambao.app.stopwatchtimer","0.1.6","822987","3.4","2323","42","http://cdn.downloads.palm.com/public/13/icon/L/icon.png","1","Productivity & Utilities!Tools"
"GolfPinFinder","GolfPinFinder is a golf GPS distance finder and multi-player scoring application with access to over 9,000 golf courses provided by BBGPSGOLF and provides the ability to easily add your own course online and from your device.  Download the golf course you're playing directly over the air anytime - always available and always up-to-date - or download and save unlimited golf courses locally on your device.  Search for golf courses by name or find golf courses around your current location using your GPS location.  GolfPinFinder includes yardages for the front, center and back of the green, tee box, and up to 5 additional custom points per hole.  An optional hole hint for each hole is also displayed if available.  With GolfPinFinder, you can setup your own clubs to show recommendations per yardage and you can mark your shots to see how long you really hit your clubs.  After your round of golf, you can email the scorecard to you and your golfing buddies.  GolfPinFinder also keeps track of your round history per golf course so you can easily track your game statistics.","2009-10-05 22:19:05","21.21","com.golfpinfinder.www","0.9.2","1161889","3.5","1148","25","http://cdn.downloads.palm.com/public/21/icon/L/icon.png","9.9499998092651","Sports!Scores / Statistics"
"TipIt","TipIt is a refreshing remake of the TIPical tip calculator.  The interface is simply designed using many of the clean widgets available in WebOS.","2009-10-09 18:00:09","22.22","com.eightbits.tipit","1.0.0","311567","3.6","14318","26","http://cdn.downloads.palm.com/public/22/icon/L/icon_64_64.png","0","Finance!Personal"
"NewsRoom","NewsRoom lets you keep up with all the latest news, right from your phone. With its dynamic interface and exclusive back end, NewsRoom is the fastest and most intuitive way to stay in touch while on the go. Instantly follow your favorite news, gadget, gossip, sports and fan sites, even when you don't have a signal. Fully supporting any RSS feed, it is perfect for both casual and expert users, no matter what the interest. With NewsRoom, you'll always be the first to know. 
New in version 1.4.1
* Clear Unread on Orange Click menu
* Update fix
New in version 1.4.0
* Preferences to control unread behavior.
* Swipe up to view all unread articles.
* Swipe down to clear unread articles.
* Articles can now be starred.
* Youtube views played through Youtube App

New in version 1.2.1
* Feed list screen now resizes when there are pending notifications
* Only background updates occur for feeds with notifications enabled for better battery performance.
* Faster content updates with new server callback.

New in version 1.2.0
* Big changes under the hood for performance improvements as well has reducing the memory used by the app significantly.
* As promised, the 9 feed limit is gone. You can now add up to four pages for a total of 36.
* Per-feed notifications. Tap a site while holding the orange key or visit the Site Manager to enable notifications for the sites you care about the most. NewsRoom will also keep things up to date for you even when you don't leave it open.
* Article skim view now resizes when there are pending notifications.
* Tap-hold on the site icons to rearrange them in the order of your liking.
* Sites can now be renamed.","2009-10-06 00:01:06","25.25","com.trileet.newsroom","1.0.0","818535","3.4","2740","125","http://cdn.downloads.palm.com/public/25/icon/L/icon.png","4.9899997711182","News!Current / Breaking"
"Mezzoman","Mezzoman works in the US, Canada, Ireland, and the UK ONLY.
Powered by the Google Maps API and Yelp. Mezzoman is the first application to find places to meet friends, family and/or business associates in the middle. Using a proprietary 3 point system, Mezzoman can easily find a place to meet in the middle so everyone can save time, money and gas! 
Meeting up to three friends, clients or family members in the middle couldn’t be easier. Simply enter your address, your friend’s address, type in a search term (like Sushi) and hit Mezzoman Go! The results you get will be based on the exact midpoint between the two (or three) addresses based on roads; this means your midpoint will always be in an area accessible to you. Mezzoman can also use your current GPS coordinates to make it quick and easy for you to meet with someone when you are not at a known address or are on the road. Additionally, you can add a Contact’s address to any address field with the tap of a button. 
	Since the results are based on Yelp, you can easily find a top rated Sushi bar between your place and theirs, or a great place to Karaoke between your office and their office. You can also easily call a business result, email it, find it on a map, or read reviews on it at Yelp.com.","2009-10-06 00:03:06","27.27","com.mezzoman.mezzoman","0.5.2","1305068","4","365","10","http://cdn.downloads.palm.com/public/27/icon/L/PreIcon.png","0.99000000953674","Travel!Local Attractions"
"JogStats","JogStats is a GPS-based companion for exercise buffs.  Use your phones GPS to track stats while jogging and analyze them when you are finished.  Stats recorded include time, distance, speed, pace, calories and altitude. Each session also has weight and notes fields.  Stats can be displayed in US or Metric units.  Speed, altitude and your GPS route can be viewed in easy to read graphs and all past sessions are saved in a database for later review.  Session types of Jogging, Walking, Hiking and Biking can be selected and you can share your stats via Twitter. GPX data can be emailed to yourself for upload to popular mapping sites.  Sessions can also be paused and resumed without changing your stats.  **New in this version: The ability to highlight a stat, auto-resizing screens to support the Pixi, and added Average Pace to the stats list. Note: A clear sky view (for good GPS accuracy) is required to use JogStats.","2009-10-05 23:41:05","33.33","com.rustyapps.jogstats","0.4.7","927611","3.2","1428","48","http://cdn.downloads.palm.com/public/33/icon/L/icon.png","4.9899997711182","Health & Fitness!Workout / Training"
"BlockDrop","Blockdrop is a classic style puzzle game with five standard difficulty modes and infinite levels. It features full touchscreen gesture controls, customizable keyboard buttons, rich graphics, a pause function, local and global high-scores and extremely addictive game-play.","2009-10-05 21:46:05","44.44","com.danielfarina.blockdrop","1.0.4","3092521","3.8","444","26","http://cdn.downloads.palm.com/public/44/icon/L/icon.png","3.9900000095367","Games!Arcade"
"Checkers Pro","** New version includes online play, new achievement tracking, notifications, new features, Palm Pixi compatibility, and more! **

Checkers is a classic board game played worldwide. Play against the computer in a variety of play styles or play against your friends in Pass and Play. Now you can play against your friends online! Enjoy a variety of board themes and brand new, extensive achievements!

App runs smoothly in webOS 1.1 or later.","2009-10-05 23:16:05","58.58","net.keenstudios.app.checkerspro","1.0.0","3115824","3.3","567","19","http://cdn.downloads.palm.com/public/58/icon/L/icon.png","0.99000000953674","Games!Children"
"WeatherBug Elite","WeatherBug Elite for Palm WebOS is the source for truly live, local weather – providing users access to the largest network of professional weather stations in the U.S. and thousands of locations around the world. Among its numerous features, WeatherBug Elite provides users with current conditions, forecasts and severe weather alerts as they happen. Best of all, WeatherBug Elite is 100% ad-free. Get live, local weather in the palm of your hand…download WeatherBug Elite today!

Key features:

• Live, local weather conditions and forecasts 
• 7-Day and Hourly forecast
• Animated radar and maps 
• Severe weather alerts (NWS alerts)
• Detailed maps overlays, including: Satellite,  Temperature, Humidity, Wind Speed, Air Pressure, Forecast Hi and Forecast Lo
• Always-on functionality (even when the app is minimized)
• Configurable update rate (30-seconds to 12 hours)
• Unlimited number of saved locations
• GPS “Track Me” will update weather conditions based on the location of the user
(Note: updates according to configurable update rate and requires the app to be running in foreground or minimized mode.)","2009-10-05 21:56:05","66.66","com.aws.weatherbug","1.0.2","3662063","3.3","5095","106","http://cdn.downloads.palm.com/public/66/icon/L/eliteIcon64x64.png","1.9900000095367","Weather!Storms / Warnings"
